1, 144000, Tempo, 303030
1, 144240, Tempo, 281690
1, 144480, Tempo, 303030
1, 144720, Tempo, 281690
1, 144960, Tempo, 303030
1, 145200, Tempo, 352941
1, 145440, Tempo, 319149
1, 145680, Tempo, 302267
1, 145920, Tempo, 310881
1, 146160, Tempo, 295567
1, 146400, Tempo, 310881
1, 146640, Tempo, 295567
1, 146880, Tempo, 310881
1, 147120, Tempo, 295567
1, 147360, Tempo, 310881
1, 147600, Tempo, 295567
1, 147840, Tempo, 310881
1, 148080, Tempo, 295567
1, 148320, Tempo, 310881
1, 148560, Tempo, 295567
1, 148800, Tempo, 310881
1, 148920, Tempo, 316623
1, 149040, Tempo, 303797
1, 149280, Tempo, 310881
1, 149520, Tempo, 295567
1, 149760, Tempo, 310881
1, 150000, Tempo, 295567
1, 150240, Tempo, 310881
1, 150480, Tempo, 295567
1, 150720, Tempo, 310881
1, 150960, Tempo, 295567
1, 151200, Tempo, 307692
1, 151440, Tempo, 292683
1, 151680, Tempo, 306122
1, 151920, Tempo, 291971
1, 152160, Tempo, 303030
1, 152400, Tempo, 289157
1, 152640, Tempo, 300000
1, 152880, Tempo, 285714
1, 153060, Tempo, 352941
1, 153120, Tempo, 303030
1, 153360, Tempo, 281690
1, 153600, Tempo, 303030
1, 153840, Tempo, 281690
1, 154080, Tempo, 303030
1, 154320, Tempo, 281690
1, 154560, Tempo, 303030
1, 154800, Tempo, 281690
1, 155040, Tempo, 303030
1, 155280, Tempo, 281690
1, 155520, Tempo, 303030
1, 155760, Tempo, 281690
1, 156480, Tempo, 303030
1, 156720, Tempo, 291971
1, 156900, Tempo, 347826
1, 156960, Tempo, 310881
1, 157200, Tempo, 295567
1, 157440, Tempo, 310881
1, 157680, Tempo, 295567
1, 157920, Tempo, 310881
1, 158160, Tempo, 295567
1, 158400, Tempo, 310881
1, 158640, Tempo, 295567
1, 158880, Tempo, 310881
1, 159120, Tempo, 300752
1, 159300, Tempo, 352941
1, 159360, Tempo, 314961
1, 159600, Tempo, 301508
1, 159840, Tempo, 315789
1, 160080, Tempo, 301508
1, 160320, Tempo, 315789
1, 160560, Tempo, 300000
1, 160740, Tempo, 347826
1, 160800, Tempo, 310881
1, 161040, Tempo, 292683
1, 161280, Tempo, 305344
1, 161520, Tempo, 289855
1, 161760, Tempo, 302267
1, 162000, Tempo, 285714
1, 162180, Tempo, 338028
1, 162240, Tempo, 303030
1, 162480, Tempo, 281690
1, 162720, Tempo, 303030
1, 162960, Tempo, 281690
1, 163200, Tempo, 303030
1, 163440, Tempo, 281690
1, 163680, Tempo, 303030
1, 163920, Tempo, 281690
1, 164160, Tempo, 303030
1, 164400, Tempo, 281690
1, 164640, Tempo, 303030
1, 164880, Tempo, 281690
1, 165120, Tempo, 303030
1, 165360, Tempo, 281690
1, 165600, Tempo, 303030
1, 165840, Tempo, 281690
1, 166080, Tempo, 303030
1, 166320, Tempo, 281690
1, 166560, Tempo, 303030
1, 166800, Tempo, 281690
1, 167040, Tempo, 303030
1, 167280, Tempo, 281690
